game_id,season,week,game_date,home_team,away_team,halftime_home_score,halftime_away_score,final_home_score,final_away_score,pregame_spread,pregame_total,trailing_team_home,trailing_team,halftime_deficit,trailing_team_was_favorite,trailing_team_favorite_by,trailing_team_won
2025_13_HOU_IND,2025,13,2025-11-30,IND,HOU,6.0,10.0,16,20,3.0,44.5,True,IND,4,True,3.0,0
2025_13_JAX_TEN,2025,13,2025-11-30,TEN,JAX,3.0,18.0,3,25,-6.0,42.5,True,TEN,15,False,0.0,0
2025_13_KC_DAL,2025,13,2025-11-27,DAL,KC,17.0,14.0,31,28,-3.5,53.5,False,KC,3,True,3.5,0
2025_13_LA_CAR,2025,13,2025-11-30,CAR,LA,17.0,21.0,31,28,-10.0,44.5,True,CAR,4,False,0.0,1
2025_13_MIN_SEA,2025,13,2025-11-30,SEA,MIN,13.0,0.0,26,0,12.5,42.5,False,MIN,13,False,0.0,0
2025_13_NO_MIA,2025,13,2025-11-30,MIA,NO,16.0,0.0,21,17,5.5,41.5,False,NO,16,False,0.0,0
2025_13_NYG_NE,2025,13,2025-12-01,NE,NYG,30.0,7.0,33,15,7.0,46.5,False,NYG,23,False,0.0,0
2025_13_SF_CLE,2025,13,2025-11-30,CLE,SF,8.0,10.0,8,26,-5.5,35.5,True,CLE,2,False,0.0,0
2025_14_CHI_GB,2025,14,2025-12-07,GB,CHI,14.0,3.0,28,21,6.5,44.5,False,CHI,11,False,0.0,0
2025_14_CIN_BUF,2025,14,2025-12-07,BUF,CIN,11.0,21.0,39,34,6.0,54.5,True,BUF,10,True,6.0,1
2025_14_DAL_DET,2025,14,2025-12-04,DET,DAL,20.0,9.0,44,30,3.5,55.5,False,DAL,11,False,0.0,0
2025_14_DEN_LV,2025,14,2025-12-07,LV,DEN,7.0,14.0,17,24,-8.5,40.5,True,LV,7,False,0.0,0
2025_14_HOU_KC,2025,14,2025-12-07,KC,HOU,0.0,10.0,10,20,4.5,41.5,True,KC,10,True,4.5,0
2025_14_IND_JAX,2025,14,2025-12-07,JAX,IND,28.0,10.0,36,19,-2.5,44.5,False,IND,18,True,2.5,0
2025_14_LA_ARI,2025,14,2025-12-07,ARI,LA,10.0,24.0,17,45,-9.5,49.5,True,ARI,14,False,0.0,0
2025_14_MIA_NYJ,2025,14,2025-12-07,NYJ,MIA,7.0,24.0,10,34,-2.5,41.5,True,NYJ,17,False,0.0,0
2025_14_NO_TB,2025,14,2025-12-07,TB,NO,10.0,7.0,20,24,7.5,41.5,False,NO,3,False,0.0,1
2025_14_PHI_LAC,2025,14,2025-12-08,LAC,PHI,10.0,6.0,22,19,-1.5,41.5,False,PHI,4,True,1.5,0
2025_14_PIT_BAL,2025,14,2025-12-07,BAL,PIT,9.0,17.0,22,27,5.5,43.5,True,BAL,8,True,5.5,0
2025_14_TEN_CLE,2025,14,2025-12-07,CLE,TEN,17.0,14.0,29,31,4.5,33.5,False,TEN,3,False,0.0,1
2025_14_WAS_MIN,2025,14,2025-12-07,MIN,WAS,14.0,0.0,31,0,-1.5,43.5,False,WAS,14,True,1.5,0
2025_15_ARI_HOU,2025,15,2025-12-14,HOU,ARI,23.0,7.0,40,20,10.5,42.5,False,ARI,16,False,0.0,0
